x = 0.100000 real_y = 0.000333 approx_y = 0.000333 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

x = 0.200000 real_y = 0.002667 approx_y = 0.002667 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

x = 0.300000 real_y = 0.009000 approx_y = 0.009000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

x = 0.400000 real_y = 0.021333 approx_y = 0.021333 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

x = 0.500000 real_y = 0.041667 approx_y = 0.041667 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

x = 0.600000 real_y = 0.072000 approx_y = 0.072000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

x = 0.700000 real_y = 0.114333 approx_y = 0.114333 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

x = 0.800000 real_y = 0.170667 approx_y = 0.170667 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

x = 0.900000 real_y = 0.243000 approx_y = 0.243000 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

x = 1.000000 real_y = 0.333333 approx_y = 0.333333 Norm|y() - yh| = 0.000000 Norm|E| = 0.000333 

